word1,word2,count
l,instant,6
aller,à,6
à,ma,6
avaient,dû,6
fois,nous,6
même,temps,6
est,plus,6
à,meaulnes,6
la,seule,6
la,façon,6
ne,puis,6
en,a,6
sans,me,6
si,bien,6
huit,heures,6
elle,nous,6
grand,garçon,6
en,silence,6
du,jour,6
envie,de,6
meaulnes,à,6
dit-il,en,6
et,toute,6
d,enfant,6
pendant,que,6
bois,de,6
chambre,de,6
lendemain,matin,6
jamais,plus,6
avaient,pas,6
tête,dans,6
dit,que,6
trop,tard,6
toute,seule,6
son,chemin,6
grand,portail,6
fois,le,6
les,longues,6
l,idée,6
se,sont,6
avant,d,6
les,femmes,6
je,sentais,6
pas,que,6
que,dans,6
je,pris,6
très,loin,6
j,en,6
continuait,à,6
la,couverture,6
ne,put,6
lorsque,je,6
après,le,6
au,début,6
en,nous,6
ne,lui,6
avec,l,6
une,bonne,6
bien,la,6
la,voir,6
personne,ne,6
nous,allons,6
de,fer,6
la,bataille,6
grand,manteau,6
pas,encore,6
il,venait,6
un,garçon,6
à,fait,6
dont,les,6
vers,l,6
fille,il,6
avait,commencé,6
bas,de,6
autre,qui,6
dont,nous,6
à,gauche,6
que,rien,6
la,pièce,6
autre,une,6
le,hangar,6
il,arriva,6
tous,deux,6
une,autre,6
delouche,et,6
ceux,qui,6
l,impression,6
je,vois,6
est-ce,pas,6
sa,femme,6
de,vous,6
là,que,6
grâce,à,6
puis,le,6
les,bras,6
me,regardant,6
et,même,6
fin,d,5
surpris,de,5
de,crainte,5
venue,de,5
soir,d,5
suite,il,5
longtemps,à,5
et,peut-être,5
puis,s,5
les,rues,5
sa,place,5
pas,là,5
homme,et,5
chemin,des,5
la,tante,5
à,elle,5
de,ceux,5
les,champs,5
l,aventure,5
la,flamme,5
tu,sais,5
sur,lui,5
le,début,5
le,gros,5
à,toute,5
son,histoire,5
entre,des,5
s,asseoir,5
du,pré,5
n,eût,5
de,vieilles,5
chez,la,5
il,regardait,5
ils,se,5
n,avez,5
ne,pouvait,5
long,moment,5
elle,le,5
sans,bruit,5
un,rayon,5
petit,enfant,5
en,un,5
durant,les,5
qui,semblait,5
mais,ce,5
celle,du,5
mais,avec,5
me,fit,5
était,ganache,5
du,bohémien,5
après,quatre,5
a,dit,5
on,apercevait,5
à,vierzon,5
les,bois,5
après,la,5
à,toutes,5
à,moitié,5
petites,filles,5
l,étang,5
de,paysan,5
au,lieu,5
ce,jour-là,5
il,faudrait,5
objets,de,5
deux,enfants,5
sous,une,5
ne,faut,5
je,dis,5
une,décision,5
comme,c,5
en,disant,5
petite,maison,5
de,joie,5
si,vous,5
l,espoir,5
jeune,garçon,5
été,la,5
grand,mère,5
homme,qui,5
premier,étage,5
que,personne,5
les,genoux,5
grande,nouvelle,5
cours,supérieur,5
durant,la,5
un,très,5
ne,répondit,5
les,carreaux,5
du,jeune,5
pour,m,5
cours,de,5
dit-il,et,5
mais,déjà,5
un,cri,5
avait,des,5
pas,sur,5
une,fenêtre,5
une,goutte,5
la,vie,5
je,faisais,5
de,brume,5
dit,une,5
en,loin,5
puis,nous,5
avons,fait,5
que,si,5
que,quelqu,5
malgré,le,5
le,banc,5
lorsqu,elle,5
qui,devaient,5
s,arrêter,5
au,passage,5
du,mois,5
pendant,lequel,5
la,direction,5
de,main,5
est,la,5
meaulnes,l,5
ses,deux,5
espèce,de,5
cause,de,5
connais,pas,5
peut-être,que,5
la,famille,5
mais,m,5
l,âne,5
les,tables,5
la,joie,5
la,foule,5
quand,je,5
vous,ne,5
de,sifflet,5
cris,des,5
air,à,5
en,été,5
mon,grand,5
sans,que,5
fille,qui,5
tout,s,5
deux,hommes,5
sais,quoi,5
ou,peut-être,5
fois,il,5
et,puis,5
elle,allait,5
en,riant,5
de,fatigue,5
mais,meaulnes,5
nous,fit,5
silence,et,5
autre,il,5
un,visage,5
les,jeux,5
mais,de,5
de,vieux,5
yeux,et,5
de,jeunes,5
je,fus,5
on,le,5
qui,la,5
il,le,5
heure,de,5
savait,pas,5
soir,à,5
n,aurais,5
vieux,bélisaire,5
